#TYPE System.Management.Automation.PSCustomObject
"Count","Computer"
"0","HH103A01WL56550"
"0","HH106A01WL53063"
"0","HH106A02WL53044"
"0","HH106B01WL56360"
"0","HH106B02WL56351"
"0","HH106B03WL56358"
"0","HH106B04WL56362"
"0","HH106B05WL56361"
"0","HH106B06WL56365"
"0","HH106B07WL56364"
"0","HH106B08WL56371"
"0","HH106B09WL56369"
"0","HH106B10WL56370"
"0","HH106B11WL56354"
"0","HH106B12WL56366"
"0","HH106B13WL56357"
"0","HH106B14WL56355"
"0","HH106B15WL56363"
"0","HH106B16WL56372"
"0","HH109-01WC52618"
"0","HH116-01WL56542"
"0","HH116-02WL56543"
"0","HH116-03WL56544"
"0","HH124-01WW50874"
"0","HH124-02WW50960"
"2","HH132-01WC54426"
"0","HH135-01WC52507"
"0","HH139-01WC52509"
"0","HH203-01WL55537"
"0","HH203-02WL55539"
"0","HH203-03WL55540"
"0","HH203-04WL55542"
"0","HH203-05WL55552"
"0","HH203-06WL55553"
"0","HH203-07WL55554"
"0","HH203-08WL55556"
"0","HH205-01WC52510"
"0","HH207-01WL51768"
"0","HH207-02WL51787"
"0","HH207-03WL51788"
"0","HH207-04WL51789"
"0","HH207-05WL51790"
"0","HH207-06WL51791"
"0","HH207-07WL51792"
"0","HH207-08WL51781"
"0","HH207-09WL51782"
"0","HH207-10WL51783"
"0","HH207-11WL51784"
"0","HH207-12WL51785"
"0","HH207-13WL51786"
"0","HH207-14WL51775"
"0","HH207-15WL51776"
"0","HH207-16WL51777"
"0","HH207-17WL51778"
"0","HH207-18WL51779"
"0","HH207-19WL51780"
"0","HH207-20WL51769"
"0","HH207-21WL51770"
"0","HH207-22WL51771"
"0","HH207-23WL51772"
"0","HH207-24WL51773"
"0","HH207-25WL51774"
"0","HH209-01WC52503"
"0","HH211-01WC52512"
"0","HH212-01WL51793"
"0","HH212-02WL51812"
"0","HH212-03WL51813"
"0","HH212-04WL51814"
"0","HH212-05WL51815"
"0","HH212-06WL51816"
"0","HH212-07WL51817"
"0","HH212-08WL51806"
"0","HH212-09WL51807"
"0","HH212-10WL51808"
"0","HH212-11WL51809"
"0","HH212-12WL51810"
"0","HH212-13WL51811"
"0","HH212-14WL51800"
"0","HH212-15WL51801"
"0","HH212-16WL51802"
"0","HH212-17WL51803"
"0","HH212-18WL51804"
"0","HH212-19WL51742"
"0","HH212-20WL51746"
"0","HH212-21WL51795"
"0","HH212-22WL51796"
"0","HH212-23WL51797"
"0","HH212-24WL51798"
"0","HH212-25WL51799"
"0","HH216-01WC52514"
"0","HH223-01WL50879"
"0","HH223-03WL50865"
"0","HH223-04WL50898"
"0","HH227-04WW51605"
"0","HH251-01WL53876"
"0","HH251-02WL53877"
"0","HH251-03WL53878"
"0","HH306-01WL55871"
"0","HH306-02WL55863"
"0","HH306-03WL55877"
"0","HH306-04WL55875"
"0","HH306-05WL55864"
"0","HH306-06WL55862"
"0","HH306-07WL55870"
"0","HH306-08WL55861"
"0","HH306-09WL55882"
"0","HH306-10WL55873"
"0","HH306-11WL55878"
"0","HH306-12WL55879"
"0","HH306-13WL55869"
"0","HH306-14WL55865"
"0","HH306-15WL55866"
"0","HH306-16WL55892"
"0","HH306-17WL55881"
"0","HH306-18WL55883"
"0","HH306-19WL55874"
"0","HH306-20WL55876"
"0","HH306-21WL55872"
"0","HH306-22WL55884"
"0","HH306-23WL55887"
"0","HH306-24WL55888"
"0","HH306-25WL55890"
"0","HH306-26WL55880"
"0","HH306-27WL55891"
"0","HH306-28WL55889"
"0","HH307-01WL54781"
"0","HH307-02WL54773"
"14","HH307-03WL54762"
"0","HH307-04WL54777"
"0","HH307-05WL54771"
"0","HH307-06WL54765"
"0","HH307-07WL54779"
"0","HH307-08WL54764"
"0","HH307-09WL54768"
"0","HH307-10WL54766"
"0","HH307-11WL54780"
"0","HH307-12WL54772"
"0","HH307-13WL54774"
"0","HH307-14WL54782"
"0","HH307-15WL54776"
"24","HH307-16WL54759"
"0","HH307-17WL54783"
"0","HH307-18WL54767"
"0","HH307-19WL54769"
"0","HH307-20WL54763"
"0","HH307-21WL54760"
"0","HH307-22WL54761"
"0","HH307-24WL54775"
"0","HH307-25WL54778"
"0","HH308-01WL54784"
"0","HH308-02WL54785"
"0","HH308-03WL54786"
"0","HH308-04WL54787"
"0","HH308-05WL54788"
"0","HH308-06WL54789"
"0","HH308-08WL54791"
"0","HH308-09WL54792"
"0","HH308-10WL54793"
"0","HH308-11WL54794"
"0","HH308-12WL54795"
"0","HH308-13WL54796"
"0","HH308-14WL54797"
"0","HH308-15WL54798"
"0","HH308-17WL54800"
"0","HH308-18WL54801"
"0","HH308-19WL54802"
"0","HH308-20WL54803"
"0","HH308-21WL54804"
"0","HH308-23WL54806"
"0","HH308-24WL54807"
"0","HH308-25WL54808"
"0","HH308-26WL54809"
"0","HH308-27WL54810"
"0","HH308-29WL54812"
"0","HH308-30WL54813"
"0","HH309-01WL54836"
"0","HH309-02WL54816"
"0","HH309-03WL54834"
"0","HH309-04WL54841"
"0","HH309-05WL54821"
"0","HH309-06WL54822"
"35","HH309-07WL54829"
"0","HH309-08WL54827"
"0","HH309-09WL54824"
"0","HH309-10WL54828"
"0","HH309-11WL54820"
"0","HH309-12WL54819"
"0","HH309-13WL54840"
"0","HH309-14WL54826"
"0","HH309-15WL54839"
"0","HH309-16WL54838"
"0","HH309-17WL54833"
"0","HH309-18WL54835"
"0","HH309-19WL54825"
"0","HH309-20WL54823"
"0","HH309-21WL54817"
"0","HH309-22WL54815"
"0","HH309-23WL54837"
"0","HH309-24WL54842"
"0","HH309-25WL54831"
"0","HH309-26WL54818"
"0","HH309-27WL54844"
"0","HH309-28WL54846"
"0","HH309-29WL54845"
"0","HH309-30WL54843"
"0","HH309-31WL54814"
"0","HH309-32WL54832"
"0","HH309-33WL54830"
"0","HH316-01WC52515"
"0","HH342-01WC52486"
"0","HH347-01WW50886"
"0","HH347-02WW50906"
"2","HH347-03WW50883"
"0","HH347-04WW50884"
"0","HH349-03WW50896"
"0","HH349-04WW50855"
"0","HH349-06WW50905"
"0","HH349-07WW50888"
"0","IMWF-02WW51624"
"0","IMWF-03WW51615"
"0","JP110-01WL56784"
"0","JP110-02WL56785"
"0","JP110-03WL56791"
"0","JP113-01WW50857"
"0","JP113-02WW50859"
"0","JP113-03WW50889"
"0","JP115-01WL53039"
"0","JP115-02WL52484"
"0","JP115-03WL52485"
"0","JP115-04WL52483"
"0","JP115-05WL53038"
"0","JP115-06WL52482"
"0","JP134-01WC52438"
"0","JP135-01WC52443"
"0","JP222-01WC55041"
"0","JP234-01WL51715"
"0","JP234-02WL51716"
"0","JP234-03WL51717"
"0","JP234-04WL51718"
"0","JP234-05WL51719"
"0","JP234-06WL51720"
"0","JP234-07WL51721"
"0","JP234-08WL51722"
"0","JP234-09WL51723"
"0","JP234-10WL51724"
"0","JP234-11WL51725"
"0","JP234-12WL51726"
"0","JP234-13WL51727"
"0","JP234-14WL51728"
"0","JP234-15WL51729"
"0","JP234-16WL51730"
"0","JP234-17WL51731"
"0","JP234-18WL51732"
"0","JP234-19WL51733"
"0","JP234-20WL51734"
"0","JP234-21WL51735"
"0","JP234-22WL51736"
"0","JP234-23WL51737"
"0","JP234-24WL51738"
"0","JP234-25WL51739"
"0","JP235-01WC52446"
"0","JP236-01WC52447"
"0","LAB50250"
"0","LAB52795"
"0","LAB54288"
"0","LAB57150"
"0","LB1FL-01WL53627"
"0","LB1FL-02WL53580"
"0","LB1FL-03WL53590"
"0","LB1FL-04WL53591"
"0","LB1FL-05WL53576"
"0","LB1FL-06WL53638"
"0","LB1FL-07WL53664"
"0","LB1FL-08WL53641"
"0","LB1FL-09WL53584"
"0","LB206-01WC50939"
"0","LB2FL-01WL53653"
"0","LB2FL-02WL53574"
"0","LB2FL-03WL53592"
"0","LB2FL-04WL53654"
"0","LB2FL-05WL53579"
"0","LB2FL-06WL53585"
"0","LB2FL-07WL53578"
"0","LB2FL-08WL55387"
"0","LB2FL-10WL55389"
"0","LBATH-01WL53623"
"0","LBATH-02WL53612"
"0","LBATH-03WL53613"
"0","LBATH-04WL53655"
"0","LBATH-05WL53575"
"0","LBATH-06WL53656"
"0","LBATH-07WL53614"
"0","LBATH-08WL53649"
"0","LBATH-10WL53620"
"0","LBATH-11WL53577"
"0","LBATH-12WL53625"
"0","LBATH-13WL52620"
"0","LBITL-01WL53624"
"0","LBITL-02WL53662"
"0","LBITL-03WL53632"
"0","LBITL-04WL53628"
"0","LBITL-05WL53630"
"0","LBITL-06WL53631"
"0","LBITL-07WL53608"
"0","LBITL-08WL53547"
"0","LBITL-10WL53594"
"0","LBITL-11WL53600"
"0","LBITL-12WL53601"
"0","LBITL-13WL53686"
"0","LBITL-14WL53607"
"0","LBITL-15WL53618"
"0","LBITL-16WL53571"
"0","LBITL-17WL53616"
"0","LBITL-18WL53548"
